,Make,Model,Variant,Ex-Showroom_Price,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Length,Body_Type,Doors,ARAI_Certified_Mileage,Seating_Capacity,Type,Battery,Electric_Range
11,Datsun,Redi-Go,1.0 S Amt,"2,92,667",FWD ,BS IV,28 litres,Petrol,3429 mm,Hatchback,5,23 km/litre,5,Automatic,,
12,Renault,Kwid,Rxe 0.8,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,25.17 km/litre,5,Manual,,
13,Renault,Kwid,Std 0.8,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,25.17 km/litre,5,Manual,,
14,Renault,Kwid,Rxl 0.8,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,25.17 km/litre,5,Manual,,
15,Renault,Kwid,Rxt 0.8,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,25.17 km/litre,5,Manual,,
16,Renault,Kwid,Rxt 1.0,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,23.01 km/litre,5,Manual,,
17,Renault,Kwid,Climber 1.0 Mt,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,23.01 km/litre,5,Manual,,
18,Renault,Kwid,Rxt Amt 1.0,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,24.04 km/litre,5,Automatic,,
19,Renault,Kwid,Climber Amt 1.0,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,24.04 km/litre,5,Automatic,,
20,Renault,Kwid,Rxt (O) 1.0,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,23.01 km/litre,5,Manual,,
21,Renault,Kwid,Rxt (O) Amt 1.0,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,23.01 km/litre,5,Automatic,,
22,Renault,Kwid,Climber (O) Mt 1.0,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,23.01 km/litre,5,Manual,,
23,Renault,Kwid,Climber (O) Amt 1.0,"2,92,667",FWD ,BS 6,28 litres,Petrol,3731 mm,Hatchback,5,24.04 km/litre,5,Automatic,,
24,Maruti Suzuki,Eeco,5 Str,"2,92,667",RWD ,BS 6,40 litres,Petrol,3675 mm,MPV,5,15 km/litre,5,Manual,,
25,Maruti Suzuki,Eeco,7 Str,"2,92,667",FWD ,BS 6,40 litres,Petrol,3675 mm,MPV,5,15 km/litre,7,Manual,,
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,"2,92,667",RWD ,BS 6,40 litres,Petrol,3675 mm,MPV,5,15 km/litre,5,Manual,,
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,"Rs. 4,66,057",RWD ,BS 6,40 litres,CNG,3675 mm,MPV,5,#REF!,5,Manual,,
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,"Rs. 4,25,255",RWD ,BS 6,40 litres,CNG,3675 mm,MPV,5,#REF!,5,Manual,,
29,Maruti Suzuki,Alto K10,Lxi,"2,92,667",FWD ,BS IV,35 litres,Petrol,3545 mm,Hatchback,5,24.07 km/litre,5,Manual,,
30,Maruti Suzuki,Alto K10,Vxi,"2,92,667",FWD ,BS IV,35 litres,Petrol,3545 mm,Hatchback,5,24.07 km/litre,5,Manual,,
31,Maruti Suzuki,Alto K10,Lx,"2,92,667",FWD ,BS IV,35 litres,Petrol,3545 mm,Hatchback,5,24.07 km/litre,5,Manual,,
32,Maruti Suzuki,Alto K10,Vxi (O),"2,92,667",FWD ,BS IV,35 litres,Petrol,3620 mm,Hatchback,5,24.07 km/litre,5,Manual,,
